10_0014 我又怎么会喜欢你啰
22_0019 害得我们街上放肆笑
11_0003 哎呀看样子是离婚久了熬不住了吧
09_0031 我老弟不是什么好鸟哼你老妹为什么要死缠烂打呢
02_0033 很简单坐在这里的哪个喉咙最粗我们就喊他教脑壳
23_0014 不好意思啊小丽妈妈
04_0005 操你的这个大城市的妹子真的敞亮
26_0055 看下手机看看真的不啰
02_0032 就是中秋节的时候家里会一起吃饭啊
20_0058 我就记不住我们副总长什么样子我都记不住
03_0025 真的看了作孽
18_0003 我家里老婆噻把家里这个财政大权管的很严
19_0014 害得别人坐在那里挺着脑袋输那么多空调还没吹得过瘾
20_0015 这每一次有一群奶奶在那里跳舞的时候就会有一个爷爷或者叔叔坐在那里看
26_0025 那种女人几个老婆几个崽你都不知道
14_0010 可能嘞她跟她前夫过日子啰花天酒地大手大脚搞惯了
03_0042 这个美女讲的话就全部被我家里刀哥隔着电话听到了
27_0006 那时候搞业务业务搞得蛮好有点起色
25_0050 然后每次作业的话就是讲都要我这边下了班哪
01_0007 这个常青可以说是错到他外婆家里去了
03_0006 你是出去旅游去了还是走远方亲戚去了
11_0002 因为我的爱情啊就要来到了
04_0009 但是勒我还是太肤浅了
27_0024 就是讲干什么事情还是要国家的支持和政策的支持
20_0082 你这年纪到了这个程度了我还愿意讨你做老婆就跟得你要感恩戴德一样
20_0060 背时女人啊就是心眼小
13_0007 哈哈哈谁说我不来啊
11_0016 唉我为什么做出这么蠢的事情啰唉
11_0031 所以我想先缓冲一下等我做通我爸爸的工作我再带你回去
21_0011 我这个人噻最不喜欢那种背着背着讲闲话的了
10_0016 我今天晚上要睡在这里
18_0002 她对我的每一分钱她都清清白白
19_0043 天呐那面膜一块钱一张你敢敷不
08_0016 我又不是要你去真的交一个女朋友
19_0006 其实我也不需要硬要什么各个都喜欢我我要是做到每个人都喜欢的话好累啰
04_0026 让这些街坊邻居过年过节大鱼大肉吃腻了想吃粉了有粉吃想吃面的时候有口面吃
27_0010 我们就把这个一下海呢就熟门熟路就把生意就搞起来的
02_0002 好消息天大的好消息
25_0048 然后尤其是我的小崽他比较调皮
06_0051 回去这几天没什么时间游君总是喊我出去给他开个车啊吃个饭啊
21_0007 你们有的这个妹子啰看到那个男孩子长得好一点就跑到别人抖音下面评论那些虎狼之词
14_0007 她口里就讲的很好听
04_0042 但是你们不应该瞒着这个小朋友的家长啊你们有什么权利去瞒着别人的父母啰
14_0011 是的啊
07_0026 他不信他爸妈也不信嘞
01_0017 比我小的这些年轻人说的长沙话越来越不正宗了
08_0010 嗯我跟她噻已经好了个把月了
19_0050 唉我终于从成都回长沙了
10_0018 你在干什么哦
06_0026 生活也好发展也好的另外一种可能性
15_0002 你看这是什么时候了怎么还没到家啊
04_0034 这个事情有几个很可怕的地方
07_0003 讲笑话啧哎呦我每次跟别人讲笑话的时候别人没一点反应
07_0012 没啊这是谁讲的
24_0006 不晓得不出门啊硬要出去打流这里玩那里玩真的是
25_0044 然后自己的话也有一份就是讲现在有一份比较好的工作啊有一份稳定的收入啊
01_0028 湘阴那一坨原先啰在长沙一搞啰他们带的把长沙工人搞的全是长沙的味道
27_0035 其实一件很开心的事情很容易满足
03_0055 把电话一挂发一个视频给他不然这个事情你解释的清楚啊
01_0025 那还不是看你视频学会的哦我等下就要把你拉黑删除呸
01_0015 太贵了啰
06_0044 所以你会活在一个纠结与彷徨中
27_0009 这是值得高兴的赶上了这趟车
26_0003 这个家里有我你放心好不
05_0013 昨天感觉身体不舒服去做了一下全身spa感觉很舒服今天
22_0014 都是你爷爷管的他不要我做什么事情
05_0010 这种感觉真好仿佛所有的烦恼都一扫而空今天又是一个好晴天
07_0021 亲家妈妈亲家爸爸
01_0010 那这个现在只会越来越严重啊
26_0028 这搞笑啦
08_0004 你就那样肯定啊
18_0004 我现在在她下巴底下接饭吃嘞
01_0018 那方言觉得很新鲜大概就是
11_0021 我真的可以啊
27_0053 上班上班没什么事啊天天就是坐在办公室里面转一转转一转啰
04_0003 我之前碰到了忘记说了操今天又碰到了
11_0033 过去的事呢就让它过去
11_0025 他到底是你什么人啰
04_0055 等真的把东西一换哈哈你就等着吧你就看着东西给钱叫楼梯筒子式吧
23_0019 你啊真的不错
04_0035 一个就是在一个新闻下面居然有几个评论是帮老师说话的
13_0011 机器猫不发威你当我是个老鼠啊
03_0079 我怕淹死去我就站在这个岸边看别人游一下就行了
07_0008 可能要我哦把这个芳芳妹子带回去跟他们见面哦
20_0028 我不来这里上班你就是坨屎你凭什么看不起别人啊
15_0019 你这个爷爷讲话蛮有趣啦
26_0058 每天坐在那就可以了
06_0038 反而有的时候不清醒不晓得可能还会开心一点
06_0036 这就让我很纠结了也很难过
27_0033 就一直这样漏的搞不了了
03_0022 要得吃饭去吃饭去
25_0062 然后今天最开心的事就是今天我在所有的会员卡过生日
22_0018 这会笑死去不
03_0092 你就那么容易受日本人影响啊你怎么没去影响它
23_0015 张曼玉这就是你自己害了自己
03_0046 碰又碰的巧
26_0034 怎么办呢一想起那还在读书的弟弟妹妹我就心痛
03_0077 问过我们真实原因是什么吗
20_0004 讲些这哎呀我这个牌施工施错了
26_0064 跟的那个女的一样的我真的是呸
23_0050 随什么事情都可以扯到学习啊
16_0001 这就叫当初不珍惜现在来不及
26_0021 嗯师傅我到火车站要好多钱啰
05_0016 终于礼拜六礼拜天了然后嘞天气也好可以去陪爸爸妈妈
12_0007 其实我爸爸他蛮喜欢你的
12_0017 不丢人哼为了你噻我什么事情都愿意
21_0005 这我又怎么知道呢是不我抬着脑袋一直望
23_0010 怎么一个个都要我打崽是什么意思啰
19_0037 嗯到底年纪大一点这马屁拍的清新脱俗嘞不错不错
06_0020 有更多的收获
07_0006 我爸爸懂中草药
19_0047 我觉得有些爷爷叔叔真的好没素质我不知道他怎么说的出口的别人还年纪轻轻的
04_0001 女同志们我辛苦你们一个事情要得不
03_0002 平常年的这个时候打刨秋都打累了
26_0009 妈妈我没有衣服穿了我想买新衣服
26_0066 终于考完了好想回家好像回家吃妈妈搞得饭
26_0049 英国法国阿拉伯长沙话都听不懂
17_0022 当个家好累啰受苦受累的
16_0017 哦她不来了
11_0007 上次我们家里小唐一个外地妹子她说离就离了
11_0036 没事实在没办法的话我就跟你私奔
06_0030 然后嘞我家里是企业做企业的
27_0008 正好嘞赶上我们国家开放的时候
02_0013 别懒啰
03_0023 拳头骨捏的叽叽的叫也是
20_0070 那你还不错啊你还蛮自信啊那我嘴巴就有蛮毒啦好吃就是好吃不好吃就是不好吃
25_0060 就是一件小事都可以让我们开心半天的
09_0022 我真的佩服你哥哥啊
03_0084 不可能每一个的观点都一样 
24_0019 别人说不定一屁股的债几十百万嘞你怕什么嘞
06_0004 然后呢从小呢生活还算不错优越
20_0053 我一看哼冷公子哼这什么年代的这个非主流产物啰伢唉冷公子哼
09_0020 然后你就把别人骂回去了啊
24_0003 现在长沙堵的死死的
03_0073 我们作为老百姓和家长来说我们真的没有一点别的要求
15_0007 以前没有孙女就只想要有个孙女就有趣了
27_0045 我晓得怎么说话伢唉
26_0013 稍微变了那一下天就留鼻涕
03_0058 但是求求你们了别动小朋友的脑筋放过小朋友好不
22_0003 吃饱了饭没事做
03_0020 那不然明年子真的会无法无天去你看这些被校园霸凌的小朋友真的好作孽啰
12_0014 我从来没看见他哭成这个样子过
15_0020 我今天就霸道了怎么着
03_0008 我们这里夏天气打雪仗冬天气吃冰棒的这个情况时刻有
19_0002 真的是啊她这个人跟你打个照面没话讲她就别讲不还要特意来弄你一下
19_0021 这女的和男的鉴婊嗯就是看那个绿茶的这个能力是不是不一样呐
06_0048 所以我现在还是在很痛苦的摸索中希望大家理解
09_0002 那怎么可能啰
23_0035 你有什么事情你就直接说噻
06_0023 但是当然啰时间有限不能说的太多
02_0036 信估冒天有一个这样的固定的搭配就是专门形容这样的语境
03_0016 前一段时间不是全国人民都在关注河北邯郸的三个小朋友把一个同学不是搞死了埋了吗
20_0018 我玩的好的听到我要打牌那硬是像有钱捡一样
25_0038 都可以说崽吧
14_0014 到底是装的啊还是真的吃的下这个苦哦
02_0020 肉汁还是比较饱满的然后它的皮也很酥
13_0005 这叫做情人眼里出西施
23_0049 那也活该啦
01_0001 这种评价就非常非常高啊
20_0016 怪不得说这些男人只有挂在墙壁上才老实
27_0031 今天开心的事情有蛮多
17_0009 我觉得还是别让这个芳芳当家算了
23_0005 唉你这个脑壳进了水吧你这个女人有点傻吧
02_0041 好请客两个字用另外两个本地词汇替代一下来啰
01_0011 我都是举双手双脚赞成的是不
21_0024 有钱啰想吃什么自己吃想买什么自己买
27_0011 嗯做的呢有些人下海就被海水淹死了但是呢我们还好没被海水淹死
15_0021 这小朋友噻就要教育他们恩怨分明晓得不
06_0003 我出生在一个还算良好的家庭
15_0018 你告诉小朋友这些东西在外面惹了祸还跑到这里得理不饶人是的不
26_0010 走吧帅哥啊到哪里啊
17_0005 你要是当了家你在家里的地位提高了我跟着你不一起把地位也提高了
26_0061 再一个就是二十七八度很冷我刚刚从楼下上来了我感觉我走路在打颤
26_0022 你谈爱啊你不可能啰你谈什么爱啰
15_0010 重拳脚下出英雄
16_0015 芳芳我我不是这个意思哎
08_0002 哼这严家人再怎么说都是有志气的
26_0007 滚赶快滚远点哦
07_0037 那要不就送她一件礼物啰
09_0004 这个人我又没看见过啊
26_0043 啊那是什么工作啰
03_0024 特别是做了爸妈之后根本就看不了这些视频
10_0006 我没什么事嘞哎你喊我有什么事啰
06_0041 但是你开眼看了世界经历了一些发达国家的一些模式也好体制也好
17_0010 我是觉得这样对你也不好
10_0007 啊你是有什么事情哦
12_0021 我这是为爱殉情晓得不
03_0088 还说什么长沙话受到了什么日语的影响
20_0075 住的进的可以是试一下味真的还不错
22_0005 黄草纸你们看都没看见过
02_0028 很有活力很鲜活
14_0023 我一个礼拜洗了两次澡啊
22_0015 我这一世是没想过什么事情我真的是没想过什么事情嘞
03_0094 那个地方橘子洲的电影没有一个是可以的
01_0027 他什么事情都做不了了
25_0018 我跟她爸爸身高都不高然后嘞她呢十岁有一米六这也是让我很开心的事情
04_0061 更不应该去想办法解决这些提出问题的人
06_0025 是我的人生中这也是与我最开心的事情和最欣慰的事情相辅相成的
25_0054 所以我今天最开心不
03_0053 我直到这个时候我才反应过来她为什么发脾气了
03_0051 我跟别人人都不认识我喊别人接电话
13_0015 问题是你的营业执照已经注销了啦
03_0033 我知道作为爸妈来说每个人都不希望这个事情的发生
20_0068 我说喊我去试味要我骗人我就骗不像了啊我也没推荐过哪里啊
20_0024 他怎么才能做到
11_0020 一次不成功来第二次第二次不行来三次这女人的心啊不是铁做的你总会把她打动的
22_0013 我跟你爷爷谈恋爱是自己选的啦
06_0056 让我跟别人有所不同我很庆幸我也很幸运
19_0042 从朋友发起我姐妹不是去学美甲纹绣去了吗
03_0009 这好多人在这里讲他讲你这个人摆地摊绝对是逗霸的好玩的
04_0044 你们在学校里面做老师应该是教导学生自己应该勇于承担自己犯下的错误的责任
06_0053 正面可能是开心的面就是A面；反面就是B面有可能就是不开心的事情
03_0027 他出于任何一个原因他都不应该这样做
08_0008 俗话说的好女人如衣服不换不舒服
01_0022 晓得自己错在哪了撒
03_0030 哪怕你是绿灯你可以正常行驶你都不能待着等着把眼睛一闭就过去了你左右两边必须要给我看
26_0035 早上六七点钟起来啊冷又冷的死睡又没睡醒
13_0009 无论如何我总相信这个芳芳她不是那样的人
03_0003 我家里崽晚上睡觉还把电风扇一打开
20_0011 我这照骗应该认不出我吧
21_0022 如今一餐饭才多少钱啰是不谁还吃不起啊硬要去吃别人的啊
12_0019 你喊什么啰你说句话噻
26_0069 那个水已经到大腿那里了真的受怕
26_0030 你家里的那个臭水你倒在这家门口的塘里干什么啰
22_0022 生了就要好好养这是一份责任啦
26_0017 咦呀你要怎么样啰你这个老畜生
09_0032 他们两个人就是盼着我跟我女朋友吵架然后他们就可以有机会见面是不
03_0052 别人老公不会冲的过来打我两下啊
23_0040 我有时候经常出去办事丹丹要他照顾啦
06_0062 我觉得我会走的通
03_0085 你可以质疑可以有反对的声音你甚至扯皮吵架都没关系
23_0023 笑话我还第一次听见说有人把自己做叫花子打扮
19_0015 天呐放宽心啰不要搞得这么消极这么着急这么焦虑
03_0096 别围绕着小朋友害了好不
03_0067 我手腕没有他粗啊谁的手腕比他粗啊他手腕不粗他能中这个标吗
23_0026 那怎么会啰
19_0054 你骂我我吃亏你就是个老乌龟
27_0036 嗯然后我两个崽大的呢读初中我希望刘景星能努力学习
25_0046 然后第二就是我比较难过的事也是关于我两个崽的
27_0020 嗯这个政策非常好又有我们邓主席邓小平主席
03_0013 特别是这个男子汉要哭脸的时候还躲在被窝里哭是不咯躲起回去哭你没看见过那个男子汉搁外边哭脸的吧
06_0002 我突然想到对于我来说呢作为一个80后还算年轻人吧
25_0007 是她钱丢了坐公交车没钱
16_0010 她说她在外婆家里住几天之后想到家里来看看爷爷奶奶
07_0017 柳芳芳你怎么在这里了咯
20_0007 其实除了我妈之外呢我外婆的天分也很好那也不弱
03_0082 我很少因为一条评论发这么大的脾气啊
23_0002 这下有好戏看了
20_0008 那只有我凤梨坨长得好那我们队上只有她
07_0043 我是来看严爸和严婶的关你什么事情啰
21_0002 像我作为一个土生土长的这个长沙妹子我就听我爸爸的话听不懂
25_0025 我这一生最开心的事情是生了我家里妹子
07_0001 你这个人也是傻人有傻福嘞这样爸爸妈妈肯定以为你是真的跟那个妹子在谈恋爱
04_0011 然后讲到这里我就准备走了那个奶奶还在哪里吧啦吧啦的念
22_0006 现在你们都有卫生巾我们那个时候那有什么呢
08_0012 要他去做一下他娘的思想工作啦
06_0018 跟我相同这种经历的年轻人还有也有这种感受
15_0014 还要怎么清楚咯
24_0015 没钱不重要晓得不
14_0026 我们当然晓得噻
05_0009 满满的幸福感所以所有的辛苦和等待都值得
25_0029 因为看到她一天天长大啊其实我的包括我的性格我的心态上面都变了好多
09_0011 没什么真的没什么
20_0009 估计是这老一派的人噻这审美就不同她觉得这个人白白的胖胖的那就是好
27_0038 然后刘景幽也健康快乐的长大
01_0014 啊那你就还是用普通话吧
05_0019 也开开心心中午到时候找个地方聚一下好久没聚了啦他们兄弟
19_0035 你除了长得帅一点之外你还有什么优点
03_0029 只要你走在马路上面不管你走到哪里就算你是绿灯过马路你都要给我左右两边把车看清楚
19_0005 喜欢我的呢就很喜欢不喜欢我的呢看见我瞎眼
26_0068 还一下就下好几天你要淹死哪个
23_0036 哎呀这就真的钱爷爷这就不好意思了啊
15_0012 小时候就去学徒没读什么书啦
26_0001 没喝酒
06_0045 就会很迷茫这也是很伤心难过的事情
07_0025 哎呀还不是想跟你们取一下经啰
06_0019 所以呢会让我感觉到我的人生到来了我来到这个世界上面有更多的经历了更多的事
27_0005 就是什么嘞就是我当时在物资局轻化公司
04_0038 是没打你家里的崽打了你家里的崽我看你还乱讲话不
04_0049 觉得味道不好的可以来找我
02_0017 你这是屁眼里拉珍珠出丑
08_0017 怎么还没有来啰应该来了啊
27_0049 那有的摊贩还是不服气叫他别在这里摆他硬是要在这里摆
27_0002 有钱就可以做所以有了钱就可以做很多很多事情这就是最开心的事情
24_0001 你别跟老子调子高啊
03_0091 我操了你怎么不算日本人在长沙经营了几年回去一口长沙话嘞
23_0048 那不就是她跟庆哥两个人的照片啰
03_0007 搞得真的没点名堂
24_0014 对不我站在这个路中间我想做什么就做什么
23_0024 你这是去当丐帮帮主吧
26_0057 赶快退出来赶快辞职我跟你讲啰
20_0067 你没只上半天就走吧我也是没出声哈哈去都没去路上掉头回来了
04_0056 所以在这个时候嘞就有人提出了质疑还有人就把电视台喊来曝光的
03_0066 这个事情他一搞的话我到哪里去找他呢我就算找到他了能怎么样呢
01_0002 有点像评价知识分子了啊
23_0003 这是吃了什么迷魂药啰这个庆哥哪点好噻
26_0065 伢唉我怕挨骂嘞
08_0011 妈妈已经为了你这个事已经病倒了
19_0040 这几天没更新呢是因为我打工去了
26_0046 来长沙三天了学了什么长沙话没啰
19_0033 练的好要补考练的坏一把过
16_0012 我娘要过来她没跟我后爸说啦
16_0008 我现在整个是人上人的日子
15_0001 你爸爸这一辈子就只想带一个孙女
11_0009 说了说了但是我讲了一遍就没说了
20_0029 半个钟头之内准备好按照自己的话把它说出来
27_0004 所以我觉得没得什么很伤心的事情
23_0022 我就在路边摊买了个烤红薯
04_0018 所以别拿地域来衡量这个地方的人好还是不好每个地方都有好的每个地方都有不好的
25_0068 还有一个追星的她的同事要来长沙玩
27_0016 做生意嘞还碰上了嘞很多很多的啊我们这些好心人是不也就是我们的贵人
02_0021 后面他得了糖尿病之后就吃了不了甜的了
03_0095 但是有一句还是说一句啰它的电影还是真的可以
15_0009 你是爷爷嘞你那个心眼怎么比肚脐眼还小些啰
26_0051 都放假了我的好朋友们都走了
20_0046 我不脱裤子我都放不出屁的
16_0004 你未必还在吃我娘的醋啊
03_0031 因为命要抓在你自己手上
04_0046 你怕是以为这个小朋友是机器人啊坏了哪个地方拧哪个螺丝就行了
02_0003 自掏腰包几百万很难得很不错
26_0037 可能还有那傻逼学校嘞它早上六点钟喊你起来跑早操啊
20_0034 唉你别傻啰我操凭什么你觉得会要你啊
02_0029 鲜肉月饼我是觉得很好
21_0010 一台这个手机哪有那么难得买吧
26_0063 这个人叫什么啊叫口音小警察
22_0010 我觉得我是40年代最好过的了
26_0008 我今年过年不想去外婆那里了 
23_0033 不行嘞
27_0001 嗯最开心的事情是赚钱发工资发奖金多发一点就更好了
12_0003 爸爸话不能是这样讲不
06_0047 你马上来找到一个渠道和一个方式可以把你的掌握的这些能量也好劲也好把他用出去
07_0036 芳芳来了请坐请坐
25_0051 就是讲他自己没有那个学习的态度没有那个学习的氛围
04_0014 我当时听到这句话我就火一下就上来了
07_0024 唉苍天啊大地啊这怎么办啰
03_0036 因为我们真的保证不了每一个抓方向盘的他都会是正常的
27_0028 这是我的一点体会
25_0005 那天我在公交车上头碰到了一个邋里邋遢的奶奶
19_0039 我就有趣啊我考完了说我不及格是为什么嘞
04_0004 她往我这边走我往她那边走我真的不多说她跟裸体骑单车一样
20_0043 你们该你们得到的都会得到你得到的太多了我什么都没得到啦
20_0049 就想跟大家讲一句哦找工作的时候一定不要因为想工作因为想找个工想找个单位就急于的去接受它
24_0009 我们俩个就真的坐在这个车上就堵车就行了围着这个河东河西转
03_0093 老子本来就恨死了这个地方的人他妈妈的逼了畜生做的事情全做了没做一个人做的事情
14_0002 搞得大搜和这个林玉啊她们在这个边上放肆吃醋
12_0012 我要哭我失恋了你还不让我发泄一下
03_0044 这个时候刀哥就突然一下问我你在哪里啊
04_0016 你跟我讲道理我就跟你讲道理你不跟我讲道理我比你更不讲道理些
06_0054 事情没有绝对
19_0030 这也要技巧的好不等下翻过去了怎么办别人问我是不是可以看见我的后脑勺
11_0035 我向你保证金婚银婚永不离婚我要是离婚我是个畜生
14_0024 你这也太会算计了吧
03_0064 这谁还能抢走他碗里的东西啊
19_0032 但是呢后面我还特意跑过去问我们教练我讲特剑是你的艺名不
03_0074 你哪怕要动小朋友的脑筋你也等他满了18岁要得不
27_0051 有保安亭啊那里面有空调过的蛮舒服的不蛮冷
06_0005 小时候可以出国很小就到了美国待了10年
02_0019 你没有乡里种田你还怎么样呢
20_0065 自己一个鬼样子还喜欢对别人指手画脚你多少岁我多少岁咯我天啊
20_0032 很出人意料的居然选择了我
14_0003 都不像便宜货
13_0012 爸爸你别急啰他有什么话你让他讲啰
08_0006 你谈个恋爱的话它就可以把注意力从这个心巧结婚的事上转移出来啦
12_0015 那倒不至于吧
17_0018 老头子这个芳芳还是个精打细算过日子的角色嘞
02_0030 因为这个月饼它不仅是月饼还有我奶奶对他的爱和思念
11_0013 你讲芳芳到你家里来吧只怕你家里人不同意
07_0044 我去让她开心哪个让我开心啰
24_0007 我就很想知道现在长沙人谈爱都去玩什么
11_0011 所以噻我后面要说的话我就没说出来
